candidate_id,city,fresh_graduate_status,skills,excel_skill,sql_skill,python_skill,power_bi_skill,looker_studio_skill,database_skill,tableau_skill,other_skills,candidate_goals,platform_source,province,for_job,upskills,networking,switch_career,total_skills,skill_level
27,Depok,Ya,"Excel, SQL, Python, Power BI, Looker Studio",1,1,1,1,1,0,0,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1,1,1,1,5,Intermediate
28,Purworejo,Ya,"Excel, SQL, Python, Looker Studio",1,1,1,0,1,0,0,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1,1,1,0,4,Intermediate
29,Medan,Ya,"SQL, Python, Power BI, Looker Studio, Tableau",0,1,1,1,1,0,1,,Cari Kerja,LinkedIn,Sumatera Utara,1,0,0,0,5,Intermediate
30,Malang,Tidak,Excel,1,0,0,0,0,0,0,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1,1,1,1,1,Beginner
31,Bekasi,Ya,"Excel, Power BI, Looker Studio, Tableau",1,0,0,1,1,0,1,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1,1,1,1,4,Intermediate
32,Jakarta ,Tidak,"Excel, SQL, Python, Databases",1,1,1,0,0,1,0,,"Cari Kerja, Upskill, Networking, Switch Career",Teman,Jakarta,1,1,1,1,4,Intermediate
33,Sumatera selatan,Tidak,"Excel, Looker Studio, Databases",1,0,0,0,1,1,0,,Upskill,LinkedIn,Sumatera Selatan,0,1,0,0,3,Intermediate
34,Bandung,Tidak,"Excel, SQL, Python, Databases, Tableau",1,1,1,0,0,1,1,,"Upskill, Networking",Teman,Jawa Barat,0,1,1,0,5,Intermediate
35,Surabaya,Tidak,"SQL, Python, Power BI, Looker Studio",0,1,1,1,1,0,0,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1,1,1,0,4,Intermediate
36,Jakarta,Tidak,"Excel, SQL, Python, Power BI, Databases, Tableau",1,1,1,1,0,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",Instagram,Jakarta,1,1,1,1,6,Advanced
37,Medan,Ya,"Excel, Python, Databases",1,0,1,0,0,1,0,,"Cari Kerja, Upskill, Networking, Switch Career",Instagram,Sumatera Utara,1,1,1,1,3,Intermediate
38,Tangerang Selatan,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Banten,1,1,1,0,7,Advanced
39,tangerang selatan,Tidak,"SQL, Python, Power BI, Looker Studio, Databases, Tableau",0,1,1,1,1,1,1,,Upskill,LinkedIn,Banten,0,1,0,0,6,Advanced
40,Makassar,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sulawesi Selatan,1,1,1,1,7,Advanced
41,Serang,Tidak,"Excel, SQL, Power BI, ",1,1,0,1,0,0,0,,"Cari Kerja, Upskill, Switch Career",LinkedIn,Banten,1,1,0,1,3,Intermediate
42,Tangerang Selatan ,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Banten,1,1,1,0,7,Advanced
43,Malang,Tidak,"SQL, Python, Power BI, Databases, Tableau",0,1,1,1,0,1,1,,"Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,0,1,1,1,5,Intermediate
44,Jambi,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Upskill, Networking, Switch Career",LinkedIn,Jambi,0,1,1,1,7,Advanced
45,Bekasi,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1,1,1,0,7,Advanced
46,Gresik,Tidak,"SQL, Python, Power BI, Looker Studio, Databases, Tableau, Data analyst spesifik dunia sosial",0,1,1,1,1,1,1, Data analyst spesifik dunia sosial,"Upskill, Networking, Switch Career",Teman,Jawa Timur,0,1,1,1,6,Advanced
47,Jakarta ,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1,1,1,1,7,Advanced
48,Purwokerto ,Ya,"Looker Studio, Tableau",0,0,0,0,1,0,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1,1,1,0,2,Beginner
49,Malang,Ya,"SQL, Python, Power BI, Looker Studio",0,1,1,1,1,0,0,,Networking,LinkedIn,Jawa Timur,0,0,1,0,4,Intermediate
50,Mojokerto,Ya,"SQL, Python, Databases",0,1,1,0,0,1,0,,"Upskill, Networking",Teman,Jawa Timur,0,1,1,0,3,Intermediate
51,Tangerang ,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill",LinkedIn,Banten,1,1,0,0,7,Advanced
52,Tangerang,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Semua Tools Data Analyst",1,1,1,1,1,1,1, Semua Tools Data Analyst,"Cari Kerja, Upskill, Networking",LinkedIn,Banten,1,1,1,0,7,Advanced
53,Tangerang,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Banten,1,1,1,0,7,Advanced
54,Jakarta,Ya,"Looker Studio, Databases, Tableau",0,0,0,0,1,1,1,,"Upskill, Networking, Switch Career",LinkedIn,Jakarta,0,1,1,1,3,Intermediate
55,Palangkaraya Kalimantan Tengah ,Tidak,SQL,0,1,0,0,0,0,0,,"Upskill, Networking, Switch Career",LinkedIn,Kalimatan Tengah,0,1,1,1,1,Beginner
56,Jawa Tengah,Ya,"Excel, SQL, Python, Tableau",1,1,1,0,0,0,1,,Cari Kerja,Teman,Jawa Tengah,1,0,0,0,4,Intermediate
57,Jember,Ya,"Excel, SQL, Python, Databases, Tableau",1,1,1,0,0,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1,1,1,0,5,Intermediate
58,Jakarta,Tidak,"Python, Power BI, Looker Studio, Databases, Tableau",0,0,1,1,1,1,1,,Upskill,LinkedIn,Jakarta,0,1,0,0,5,Intermediate
59,Bekasi,Tidak,ETL,0,0,0,0,0,0,0,ETL,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1,1,1,0,0,Beginner
60,Jakarta,Tidak,"Hadoop, Hive Server",0,0,0,0,0,0,0,"Hadoop, Hive Server","Upskill, Networking",LinkedIn,Jakarta,0,1,1,0,0,Beginner
61,Jakarta Utara,Tidak,Tableau,0,0,0,0,0,0,1,,Networking,LinkedIn,Jakarta,0,0,1,0,1,Beginner
62,surabaya,Tidak,"SQL, Databases, Tableau",0,1,0,0,0,1,1,,Upskill,LinkedIn,Jawa Timur,0,1,0,0,3,Intermediate
63,Jakarta,Tidak,"Excel, SQL, Power BI, Databases, Tableau",1,1,0,1,0,1,1,,"Upskill, Networking",LinkedIn,Jakarta,0,1,1,0,5,Intermediate
64,Surabaya ,Ya,"Excel, SQL, Python, Looker Studio, Databases",1,1,1,0,1,1,0,,"Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Timur,1,1,1,1,5,Intermediate
65,Tangerang,Ya,"Python, Power BI, Looker Studio, Databases",0,0,1,1,1,1,0,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1,1,1,1,4,Intermediate
66,Sidoarjo ,Ya,"SQL, Python, Power BI, Looker Studio, Databases, Tableau",0,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1,1,1,0,6,Advanced
67,Surabaya,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1,1,1,0,7,Advanced
68,Jakarta Selatan,Tidak,"Excel, SQL, Python, Databases",1,1,1,0,0,1,0,,"Upskill, Networking",LinkedIn,Jakarta,0,1,1,0,4,Intermediate
69,Bandung,Tidak,"SQL, Python, Power BI, Databases",0,1,1,1,0,1,0,,"Upskill, Networking",LinkedIn,Jawa Barat,0,1,1,0,4,Intermediate
70,Jakarta,Ya,"Excel, SQL, Python, Looker Studio, Databases",1,1,1,0,1,1,0,,"Upskill, Networking",LinkedIn,Jakarta,0,1,1,0,5,Intermediate
71,Bekasi,Tidak,"Excel, SQL, Python, Power BI, Databases",1,1,1,1,0,1,0,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1,1,1,1,5,Intermediate
72,Palangkaraya,Ya,"Excel, SQL, Python, Databases",1,1,1,0,0,1,0,,"Upskill, Networking",Teman,Kalimantan Tengah ,0,1,1,0,4,Intermediate
73,Balikpapan,Tidak,"Python, Power BI, Looker Studio, Databases",0,0,1,1,1,1,0,,"Cari Kerja, Upskill, Networking",LinkedIn,Kalimantan Timur,1,1,1,0,4,Intermediate
74,PARINGIN,Tidak,"Excel, SQL, Power BI, Databases",1,1,0,1,0,1,0,,"Upskill, Networking",LinkedIn,Kalimantan Selatan,0,1,1,0,4,Intermediate
75,Medan,Tidak,"SQL, Looker Studio",0,1,0,0,1,0,0,,Upskill,LinkedIn,Sumatera Utara,0,1,0,0,2,Beginner
76,Jakarta selatan,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",Instagram,Jakarta,1,1,1,0,7,Advanced
77,Bulukumba,Tidak,"Excel, SQL, Python, Power BI, Tableau",1,1,1,1,0,0,1,,Cari Kerja,Teman,Sulawesi Selatan,1,0,0,0,5,Intermediate
78,Tulungagung,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1,1,1,0,7,Advanced
79,Yogyakarta ,Ya,"Excel, SQL, Python, Power BI, Databases, Tableau",1,1,1,1,0,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1,1,1,0,6,Advanced
80,Depok,Tidak,"SQL, Python, Power BI, Looker Studio, Databases, Tableau",0,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1,1,1,0,6,Advanced
81,"Tanjung Enim, Sumatera Selatan",Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",Instagram,Sumatera Selatan,1,1,1,1,7,Advanced
82,sangatta,Tidak,"Excel, Python, Power BI, Databases",1,0,1,1,0,1,0,,Upskill,LinkedIn,Kalimantan Timur,0,1,0,0,4,Intermediate
83,Malang,Ya,"Excel, SQL, Python, Power BI, Databases",1,1,1,1,0,1,0,,"Cari Kerja, Upskill",LinkedIn,Jawa Timur,1,1,0,0,5,Intermediate
84,Jakarta Timur ,Ya,"Excel, SQL, Python",1,1,1,0,0,0,0,,"Cari Kerja, Upskill",LinkedIn,Jakarta,1,1,0,0,3,Intermediate
85,Surakarta,Ya,"Excel, SQL, Python, Power BI, Tableau",1,1,1,1,0,0,1,,"Upskill, Networking",LinkedIn,Jawa Tengah,0,1,1,0,5,Intermediate
86,Jakarta,Tidak,"Excel, Looker Studio, Databases",1,0,0,0,1,1,0,,Switch Career,Instagram,Jakarta,0,0,0,1,3,Intermediate
87,Palembang,Tidak,"SQL, Python, Power BI, Looker Studio, Tableau",0,1,1,1,1,0,1,,"Cari Kerja, Networking, Switch Career",Instagram,Sumatera Selatan,1,0,1,1,5,Intermediate
88,Lampung,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Lampung,1,1,1,0,7,Advanced
89,DKI Jakarta,Ya,"SQL, Python, Power BI, Tableau",0,1,1,1,0,0,1,,"Upskill, Networking, Switch Career",LinkedIn,Jakarta,0,1,1,1,4,Intermediate
90,Kudus,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1,1,1,1,7,Advanced
91,"Malang, Jawa Timur",Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",Teman,Jawa Timur,1,1,1,0,7,Advanced
92,Jakarta Selatan,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill",LinkedIn,Jakarta,1,1,0,0,7,Advanced
93,Tangerang,Ya,"Excel, Python, Power BI, Databases",1,0,1,1,0,1,0,,"Upskill, Networking",Instagram,Banten,0,1,1,0,4,Intermediate
94,Semarang,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",Teman,Jawa Tengah,1,1,1,0,7,Advanced
95,Banyumas,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1,1,1,0,7,Advanced
96,Bengkulu,Tidak,"Excel, SQL, Python",1,1,1,0,0,0,0,,"Upskill, Switch Career",LinkedIn,Bengkulu,0,1,0,1,3,Intermediate
97,Tangerang,Tidak,"Excel, SQL, Python, Looker Studio",1,1,1,0,1,0,0,,"Upskill, Switch Career",LinkedIn,Banten,0,1,0,1,4,Intermediate
98,Lampung,Ya,"SQL, Python, Power BI, Tableau",0,1,1,1,0,0,1,,"Cari Kerja, Upskill",LinkedIn,Lampung,1,1,0,0,4,Intermediate
99,Batam,Ya,"Excel, SQL, Python, Power BI, Tableau",1,1,1,1,0,0,1,,"Cari Kerja, Networking",Instagram,Riau,1,0,1,0,5,Intermediate
100,Jakarta,Tidak,"SQL, Python, Databases, Tableau",0,1,1,0,0,1,1,,Upskill,LinkedIn,Jakarta,0,1,0,0,4,Intermediate
101,Jakarta Selatan,Tidak,"SQL, Power BI, Tableau",0,1,0,1,0,0,1,,"Upskill, Networking",LinkedIn,Jakarta,0,1,1,0,3,Intermediate
102,Medan,Tidak,"Excel, SQL, Tableau",1,1,0,0,0,0,1,,"Upskill, Switch Career",LinkedIn,Sumatera Utara,0,1,0,1,3,Intermediate
103,Makassar,Ya,"SQL, Python, Databases, Tableau",0,1,1,0,0,1,1,,"Cari Kerja, Upskill, Networking",Teman,Sulawesi Selatan,1,1,1,0,4,Intermediate
104,Brebes,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",Teman,Jawa Tengah,1,1,1,0,7,Advanced
105,Kediri,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, ",1,1,1,1,1,1,0,,"Cari Kerja, Upskill, Networking, Switch Career",Instagram,Jawa Timur,1,1,1,1,6,Advanced
106,JAKARTA SELATAN ,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1,1,1,1,7,Advanced
107,Jakarta selatan ,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Skill komunikasi ",1,1,1,1,1,1,1, Skill komunikasi,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1,1,1,1,7,Advanced
108,Yogyakarta ,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1,1,1,0,7,Advanced
109,Bekasi,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1,1,1,0,7,Advanced
110,Bogor,Ya,"Excel, SQL, Python, Power BI",1,1,1,1,0,0,0,,"Cari Kerja, Upskill",LinkedIn,Jawa Barat,1,1,0,0,4,Intermediate
111,Padang,Ya,"SQL, Power BI, Looker Studio, Databases",0,1,0,1,1,1,0,,"Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Barat,1,1,1,0,4,Intermediate
112,Makassar,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sulawesi Selatan,1,1,1,1,7,Advanced
113,Riau,Tidak,"Excel, Power BI, Databases",1,0,0,1,0,1,0,,"Upskill, Switch Career",LinkedIn,Riau,0,1,0,1,3,Intermediate
114,Purwakarta,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill",LinkedIn,Jawa Barat,1,1,0,0,7,Advanced
115,Klaten,Ya,"Excel, SQL, Databases",1,1,0,0,0,1,0,,"Cari Kerja, Upskill, Networking",Teman,Jawa Tengah,1,1,1,0,3,Intermediate
116,Tangerang,Tidak,"SQL, Python",0,1,1,0,0,0,0,,"Cari Kerja, Upskill",Teman,Banten,1,1,0,0,2,Beginner
117,Malang,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1,1,1,0,7,Advanced
118,Malang,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",Instagram,Jawa Timur,1,1,1,0,7,Advanced
119,pontianak,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,Upskill,LinkedIn,Kalimantan Barat,0,1,0,0,7,Advanced
120,pontianak,Ya,"Excel, SQL, Python, Power BI, Tableau",1,1,1,1,0,0,1,,"Cari Kerja, Upskill",LinkedIn,Kalimantan Barat,1,1,0,0,5,Intermediate
121,Sidoarjo,Tidak,"Excel, Power BI, Looker Studio, Tableau",1,0,0,1,1,0,1,,Upskill,LinkedIn,Jawa Timur,0,1,0,0,4,Intermediate
122,Jakarta Utara,Tidak,"Excel, Power BI, Databases",1,0,0,1,0,1,0,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1,1,1,1,3,Intermediate
123,Ciamis,Ya,"Excel, SQL, Power BI, Looker Studio, Databases, Tableau",1,1,0,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1,1,1,0,6,Advanced
124,Jakarta,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1,1,1,1,7,Advanced
125,Cilegon,Tidak,"SQL, Python, Databases",0,1,1,0,0,1,0,,"Upskill, Networking",LinkedIn,Banten,0,1,1,0,3,Intermediate
126,Tangerang,Tidak,"Excel, Power BI, Looker Studio",1,0,0,1,1,0,0,,"Upskill, Networking",LinkedIn,Banten,0,1,1,0,3,Intermediate
127,Jakarta,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Machine learning & AI",1,1,1,1,1,1,1, Machine learning & AI,"Upskill, Networking",Teman,Jakarta,0,1,1,0,7,Advanced
128,Yogyakarta,Tidak,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,Upskill,LinkedIn,DI Yogyakarta,0,1,0,0,7,Advanced
129,Jakarta Selatan ,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Networking, Switch Career",LinkedIn,Jakarta,1,0,1,1,7,Advanced
130,Makassar,Ya,"Excel, SQL, Python, Databases",1,1,1,0,0,1,0,,Cari Kerja,Instagram,Sulawesi Selatan,1,0,0,0,4,Intermediate
131,Yogyakarta,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1,1,1,0,7,Advanced
132,Bandung,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill",LinkedIn,Jawa Barat,1,1,0,0,7,Advanced
133,Bogor,Ya,"SQL, Python, Power BI, Looker Studio, Databases, Tableau",0,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1,1,1,0,6,Advanced
134,Probolinggo ,Tidak,"Excel, SQL, Power BI",1,1,0,1,0,0,0,,"Upskill, Networking",LinkedIn,Jawa Timur,0,1,1,0,3,Intermediate
135,Grobogan,Ya,"SQL, Python",0,1,1,0,0,0,0,,"Upskill, Switch Career",LinkedIn,Jawa Tengah,0,1,0,1,2,Beginner
136,Bekasi,Ya,"Excel, SQL, Python, Power BI, Databases, Tableau",1,1,1,1,0,1,1,,"Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1,1,1,0,6,Advanced
137,Semarang,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1,1,1,1,7,Advanced
138,Semarang,Ya,"Excel, SQL, Python",1,1,1,0,0,0,0,,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1,1,1,0,3,Intermediate
139,Jakarta,Ya,"SQL, Python, Power BI, Tableau",0,1,1,1,0,0,1,,"Upskill, Networking",LinkedIn,Jakarta,0,1,1,0,4,Intermediate
140,Bekasi Jawa Barat,Tidak,"Excel, SQL, Databases",1,1,0,0,0,1,0,,"Cari Kerja, Upskill, Networking, Switch Career",Teman,Belum ada mapping,1,1,1,1,3,Intermediate
141,Wonogiri,Ya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",1,1,1,1,1,1,1,,"Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Tengah,1,1,1,1,7,Advanced
142,Depok Jawa Barat,Tidak,"Excel, SQL, Python, Power BI, Looker Studio",1,1,1,1,1,0,0,,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1,1,1,1,5,Intermediate
